epoch 4.0 | loss 0.5265 | lr 0.000125 | valid primary 0.604195
epoch 4.5 | loss 0.5241 | lr 6.25e-05 | valid primary 0.604058
epoch 5.0 | loss 0.5245 | lr 6.25e-05 | valid primary 0.604381
epoch 5.5 | loss 0.5232 | lr 3.125e-05 | valid primary 0.604474
epoch 6.0 | loss 0.5239 | lr 3.125e-05 | valid primary 0.604369
epoch 6.5 | loss 0.5229 | lr 1.5625e-05 | valid primary 0.604316
epoch 7.0 | loss 0.5237 | lr 1.5625e-05 | valid primary 0.604364
epoch 7.5 | loss 0.5239 | lr 7.8125e-06 | valid primary 0.604389
epoch 8.0 | loss 0.5233 | lr 7.8125e-06 | valid primary 0.604371
final: {"best_epoch": 5.5, "config": {"batch_size": 8192, "bpr_weight": 0.5, "decay_every": 1.0, "decay_start_epoch": 0.0, "dropout": 0.2, "embedding_dropout": 0.1, "epochs": 8, "k": 16, "lr": 0.001, "max_runtime": 350, "patience_halves": 6, "recency_half_life": 7.0, "seed": 111, "step_decay_factor": 0.5, "subsample": null, "weight_decay": 1e-05}, "delta_vs_frozen_baseline": -0.00022601311580228156, "field_names": ["user", "video", "author", "tab", "dur_bucket10"], "gauc": 0.6714987765206563, "ndcg5": 0.5374491972477391, "primary": 0.6044739868841977, "runtime_s": 37.0, "timed_out": false}
epoch 0.5 | loss 0.6392 | lr 0.001 | valid primary 0.597403
epoch 1.0 | loss 0.5485 | lr 0.001 | valid primary 0.602780
epoch 1.5 | loss 0.5323 | lr 0.0005 | valid primary 0.603884
epoch 2.0 | loss 0.5317 | lr 0.0005 | valid primary 0.604636
epoch 2.5 | loss 0.5266 | lr 0.00025 | valid primary 0.604523
epoch 3.0 | loss 0.5273 | lr 0.00025 | valid primary 0.604997
epoch 3.5 | loss 0.5245 | lr 0.000125 | valid primary 0.604586
epoch 4.0 | loss 0.5251 | lr 0.000125 | valid primary 0.604443
epoch 4.5 | loss 0.5246 | lr 6.25e-05 | valid primary 0.604673
epoch 5.0 | loss 0.5228 | lr 6.25e-05 | valid primary 0.604539
epoch 5.5 | loss 0.5232 | lr 3.125e-05 | valid primary 0.604733
epoch 6.0 | loss 0.5237 | lr 3.125e-05 | valid primary 0.604752
final: {"best_epoch": 3.0, "config": {"batch_size": 8192, "bpr_weight": 0.5, "decay_every": 1.0, "decay_start_epoch": 0.0, "dropout": 0.2, "embedding_dropout": 0.1, "epochs": 8, "k": 16, "lr": 0.001, "max_runtime": 350, "patience_halves": 6, "recency_half_life": 7.0, "seed": 112, "step_decay_factor": 0.5, "subsample": null, "weight_decay": 1e-05}, "delta_vs_frozen_baseline": 0.0002973640566670266, "field_names": ["user", "video", "author", "tab", "dur_bucket10"], "gauc": 0.6719722334100646, "ndcg5": 0.5380224947032695, "primary": 0.604997364056667, "runtime_s": 29.2, "timed_out": false}
epoch 0.5 | loss 0.6379 | lr 0.001 | valid primary 0.596833
epoch 1.0 | loss 0.5479 | lr 0.001 | valid primary 0.602397
epoch 1.5 | loss 0.5323 | lr 0.0005 | valid primary 0.603619
epoch 2.0 | loss 0.5322 | lr 0.0005 | valid primary 0.604079
epoch 2.5 | loss 0.5274 | lr 0.00025 | valid primary 0.604159
epoch 3.0 | loss 0.5272 | lr 0.00025 | valid primary 0.604145
epoch 3.5 | loss 0.5251 | lr 0.000125 | valid primary 0.604494
epoch 4.0 | loss 0.5255 | lr 0.000125 | valid primary 0.604344
epoch 4.5 | loss 0.5247 | lr 6.25e-05 | valid primary 0.604442
epoch 5.0 | loss 0.5244 | lr 6.25e-05 | valid primary 0.604277
epoch 5.5 | loss 0.5245 | lr 3.125e-05 | valid primary 0.604297
epoch 6.0 | loss 0.5231 | lr 3.125e-05 | valid primary 0.604324
epoch 6.5 | loss 0.5242 | lr 1.5625e-05 | valid primary 0.604444
final: {"best_epoch": 3.5, "config": {"batch_size": 8192, "bpr_weight": 0.5, "decay_every": 1.0, "decay_start_epoch": 0.0, "dropout": 0.2, "embedding_dropout": 0.1, "epochs": 8, "k": 16, "lr": 0.001, "max_runtime": 350, "patience_halves": 6, "recency_half_life": 7.0, "seed": 113, "step_decay_factor": 0.5, "subsample": null, "weight_decay": 1e-05}, "delta_vs_frozen_baseline": -0.00020595309302984255, "field_names": ["user", "video", "author", "tab", "dur_bucket10"], "gauc": 0.6714534053792098, "ndcg5": 0.5375346884347305, "primary": 0.6044940469069702, "runtime_s": 33.1, "timed_out": false}
epoch 0.5 | loss 0.6348 | lr 0.001 | valid primary 0.597568
epoch 1.0 | loss 0.5481 | lr 0.001 | valid primary 0.600906
epoch 1.5 | loss 0.5317 | lr 0.0005 | valid primary 0.603475
epoch 2.0 | loss 0.5311 | lr 0.0005 | valid primary 0.603677
epoch 2.5 | loss 0.5254 | lr 0.00025 | valid primary 0.603508
epoch 3.0 | loss 0.5284 | lr 0.00025 | valid primary 0.603943
epoch 3.5 | loss 0.5252 | lr 0.000125 | valid primary 0.604141
epoch 4.0 | loss 0.5240 | lr 0.000125 | valid primary 0.604188
epoch 4.5 | loss 0.5241 | lr 6.25e-05 | valid primary 0.604114
epoch 5.0 | loss 0.5234 | lr 6.25e-05 | valid primary 0.604446
epoch 5.5 | loss 0.5235 | lr 3.125e-05 | valid primary 0.604420
epoch 6.0 | loss 0.5228 | lr 3.125e-05 | valid primary 0.604493
epoch 6.5 | loss 0.5231 | lr 1.5625e-05 | valid primary 0.604456
epoch 7.0 | loss 0.5235 | lr 1.5625e-05 | valid primary 0.604511
epoch 7.5 | loss 0.5229 | lr 7.8125e-06 | valid primary 0.604545
epoch 8.0 | loss 0.5233 | lr 7.8125e-06 | valid primary 0.604453
